Index,SiteName,SiteShortName,Longitude[degrees],Latitude[degrees],Altitude[m],TWD97_E[m],TWD97_N[m],Date,Loaction,Operator,Auditor,DievceName,DievceSN
40,NCU2000dk613(dk613),dk613,120.906995,24.271580,285,240557.5,2685103.5,null,null,null,null,null,null
41,NCU2000dk82a(dk82a),dk82a,120.758984,24.194642,248,225515.6,2676600.6,null,null,null,null,null,null
42,NCU2000dk84a(dk84a),dk84a,120.795095,24.181585,476,229182.0,2675148.6,null,null,null,null,null,null
43,NCU2000dn12(dn12),dn12,120.690570,22.902960,207,218256.9,2533571.1,null,null,null,null,null,null
44,NCU2000dn22(dn22),dn22,120.703626,22.910460,226,219598.0,2534398.8,null,null,null,null,null,null
45,NCU2000dp02(dp02),dp02,120.570040,23.372973,356,206045.5,2585650.0,null,null,null,null,null,null
46,NCU2000dp03(dp03),dp03,120.545317,23.379641,187,203520.5,2586396.1,null,null,null,null,null,null
47,NCU2000dp04(dp04),dp04,120.569762,23.372696,365,206017.0,2585619.3,null,null,null,null,null,null
48,NCU2000dp12(dp12),dp12,120.571706,23.376307,328,206217.0,2586018.6,null,null,null,null,null,null
49,NCU2000dp14(dp14),dp14,120.572818,23.374918,341,206330.1,2585864.4,null,null,null,null,null,null
50,NCU2000dp22(dp22),dp22,120.568651,23.371585,415,205903.1,2585496.6,null,null,null,null,null,null
51,NCU2000dp23(dp23),dp23,120.574762,23.371862,487,206527.9,2585525.5,null,null,null,null,null,null
52,NCU2000dp24(dp24),dp24,120.573639,23.372144,476,206413.2,2585557.0,null,null,null,null,null,null
53,NCU2000dp42(dp42),dp42,120.580503,23.375461,349,207116.0,2585922.3,null,null,null,null,null,null
54,NCU2000dp42a(dp42a),dp42a,120.577567,23.375472,349,206815.9,2585924.4,null,null,null,null,null,null
55,NCU2000dp42b(dp42b),dp42b,120.577262,23.375473,369,206784.7,2585924.6,null,null,null,null,null,null
56,NCU2000dp43(dp43),dp43,120.546275,23.380183,175,203618.6,2586455.8,null,null,null,null,null,null
57,NCU2000dp44(dp44),dp44,120.542262,23.380197,181,203208.3,2586458.7,null,null,null,null,null,null
58,NCU2000dp72(dp72),dp72,120.572540,23.376307,336,206302.2,2586018.3,null,null,null,null,null,null
59,NCU2000fl05(fl05),fl05,121.442026,23.711266,141,295072.5,2623117.2,null,null,null,null,null,null
60,NCU2000fl06(fl06),fl06,121.475638,23.714043,112,298498.9,2623435.7,null,null,null,null,null,null
61,NCU2000fl08(fl08),fl08,121.428413,23.689045,156,293691.8,2620652.0,null,null,null,null,null,null
62,NCU2000fl16(fl16),fl16,121.464527,23.712654,123,297366.4,2623278.2,null,null,null,null,null,null
63,NCU2000fl17(fl17),fl17,121.507028,23.720430,100,301697.1,2624154.1,null,null,null,null,null,null
64,NCU2000fl18(fl18),fl18,121.395912,23.682657,211,290379.1,2619935.1,null,null,null,null,null,null
65,NCU2000fl26(fl26),fl26,121.457026,23.712655,131,296601.6,2623275.8,null,null,null,null,null,null
66,NCU2000fl27(fl27),fl27,121.486472,23.715709,103,299602.9,2623623.9,null,null,null,null,null,null
67,NCU2000fl28(fl28),fl28,121.444524,23.686544,135,295335.8,2620380.1,null,null,null,null,null,null
68,NCU2000fl46(fl46),fl46,121.450082,23.709599,131,295894.5,2622935.2,null,null,null,null,null,null
69,NCU2000fl47(fl47),fl47,121.501195,23.720708,90,301102.2,2624182.8,null,null,null,null,null,null
70,NCU2000fl48(fl48),fl48,121.400613,23.682958,203,290858.5,2619969.8,null,null,null,null,null,null
71,NCU2000fs19(fs19),fs19,121.632097,24.750437,486,313933.0,2738283.6,null,null,null,null,null,null
72,NCU2000fs29(fs29),fs29,121.645708,24.746825,470,315311.6,2737889.9,null,null,null,null,null,null
73,NCU2000fs48(fs48),fs48,121.589041,24.759050,658,309573.9,2739218.2,null,null,null,null,null,null
74,NCU2000gf04(gf04),gf04,120.962251,22.592748,84,246118.8,2499188.6,null,null,null,null,null,null
75,NCU2000gf05(gf05),gf05,120.912973,22.577834,180,241051.1,2497539.3,null,null,null,null,null,null
76,NCU2000gf06(gf06),gf06,121.065168,23.155611,771,256672.8,2561516.1,null,null,null,null,null,null
77,NCU2000gf14(gf14),gf14,120.973424,22.591692,63,247267.5,2499071.4,null,null,null,null,null,null
78,NCU2000gf15(gf15),gf15,120.937566,22.587833,152,243580.5,2498645.1,null,null,null,null,null,null
79,NCU2000gf16(gf16),gf16,121.034463,23.182002,1017,253528.1,2564437.4,null,null,null,null,null,null
80,NCU2000gf20A(gf20A),gf20A,120.528350,23.193333,147.9883,201718.8,2565770.0,null,null,null,null,null,null
81,NCU2000gf29A(gf29A),gf29A,120.529396,23.201537,131.9883,201828.9,2566678.1,null,null,null,null,null,null
82,NCU2000gf29B(gf29B),gf29B,120.528349,23.201534,131.9883,201721.7,2566678.1,null,null,null,null,null,null
83,NCU2000gf44(gf44),gf44,120.997386,22.591413,33,249731.3,2499040.3,null,null,null,null,null,null
84,NCU2000gf45(gf45),gf45,120.926911,22.583889,153,242484.7,2498208.9,null,null,null,null,null,null
85,NCU2000gf46(gf46),gf46,121.040643,23.168696,711,254161.2,2562964.1,null,null,null,null,null,null
86,NCU2000gf62(gf62),gf62,120.918001,22.578583,172,241568.2,2497622.0,null,null,null,null,null,null
87,NCU2000gf64(gf64),gf64,120.946855,22.589665,83,244535.6,2498847.7,null,null,null,null,null,null
88,NCU2000gf66(gf66),gf66,121.132911,23.133497,405,263611.6,2559071.9,null,null,null,null,null,null
89,NCU2000gf88A(gf88A),gf88A,120.582267,23.238637,426,207252.6,2570770.0,null,null,null,null,null,null
90,NCU2000hd03(hd03),hd03,121.177254,22.993771,185,268171.5,2543604.3,null,null,null,null,null,null
91,NCU2000hd04(hd04),hd04,121.372560,23.380988,176,288084.1,2586521.2,null,null,null,null,null,null
92,NCU2000hd05(hd05),hd05,121.155584,22.956271,202,265954.5,2539449.4,null,null,null,null,null,null
93,NCU2000hd06(hd06),hd06,121.126418,22.964329,285,262962.8,2540338.7,null,null,null,null,null,null
94,NCU2000hd07(hd07),hd07,121.156967,22.852937,174,266108.5,2528007.1,null,null,null,null,null,null
95,NCU2000hd13(hd13),hd13,121.175592,23.067661,265,267991.3,2551786.2,null,null,null,null,null,null
96,NCU2000hd14(hd14),hd14,121.344226,23.393212,110,285184.5,2587867.7,null,null,null,null,null,null
97,NCU2000hd15(hd15),hd15,121.136697,22.993495,301,264013.8,2543569.3,null,null,null,null,null,null
98,NCU2000hd16(hd16),hd16,121.080851,22.805995,164,258300.1,2522803.0,null,null,null,null,null,null
99,NCU2000hd17(hd17),hd17,121.113351,22.781271,57,261638.5,2520067.4,null,null,null,null,null,null
100,NCU2000hd24(hd24),hd24,121.322560,23.404324,124,282967.2,2589093.1,null,null,null,null,null,null
101,NCU2000hd26(hd26),hd26,121.120299,22.847938,327,262345.9,2527450.1,null,null,null,null,null,null
102,NCU2000hd43(hd43),hd43,121.195313,23.047382,231,270015.0,2549543.2,null,null,null,null,null,null
103,NCU2000hd44(hd44),hd44,121.358115,23.387933,108,286605.6,2587286.6,null,null,null,null,null,null
104,NCU2000hd45(hd45),hd45,121.181695,22.937659,141,268634.5,2537391.4,null,null,null,null,null,null
105,NCU2000hd47(hd47),hd47,121.161685,22.775713,28,266602.0,2519456.6,null,null,null,null,null,null
106,NCU2000il25(il25),il25,121.794220,24.851064,169.9995,330266.6,2749515.1,null,null,null,null,null,null
107,NCU2000il65A(il65A),il65A,121.797591,24.845999,43.99211,330610.6,2748956.1,null,null,null,null,null,null
108,NCU2000il65D(il65D),il65D,121.857627,24.884460,7.013215,336651.8,2753253.2,null,null,null,null,null,null
109,NCU2000il65E(il65E),il65E,121.854892,24.880151,1.321529E-02,336378.4,2752774.1,null,null,null,null,null,null
110,NCU2000js05(js05),js05,121.392844,23.481544,90,290127.3,2597662.3,null,null,null,null,null,null
111,NCU2000js06(js06),js06,121.432575,23.618210,200,294140.1,2612808.8,null,null,null,null,null,null
112,NCU2000js14(js14),js14,121.348954,23.489046,183,285642.1,2598481.6,null,null,null,null,null,null
113,NCU2000js15(js15),js15,121.417011,23.486265,142,292594.4,2598192.1,null,null,null,null,null,null
114,NCU2000js16(js16),js16,121.423687,23.622933,163,293231.5,2613329.1,null,null,null,null,null,null
115,NCU2000js24(js24),js24,121.359232,23.484601,157,286693.1,2597991.9,null,null,null,null,null,null
116,NCU2000js25(js25),js25,121.399511,23.478210,84,290809.3,2597295.0,null,null,null,null,null,null
117,NCU2000js26(js26),js26,121.427865,23.620941,172,293658.5,2613109.8,null,null,null,null,null,null
118,NCU2000js45(js45),js45,121.405066,23.475710,72,291377.5,2597019.7,null,null,null,null,null,null
119,NCU2000js46(js46),js46,121.416014,23.626842,150,292447.4,2613759.7,null,null,null,null,null,null
120,NCU2000kf00(kf00),kf00,121.480914,23.677931,103,299050.3,2619438.3,null,null,null,null,null,null
121,NCU2000kf01(kf01),kf01,121.400634,23.682935,212,290860.6,2619967.2,null,null,null,null,null,null
122,NCU2000kf08(kf08),kf08,121.456191,23.680154,124,296527.9,2619676.2,null,null,null,null,null,null
123,NCU2000kf09(kf09),kf09,121.425914,23.702378,151,293432.5,2622127.9,null,null,null,null,null,null
124,NCU2000kf10(kf10),kf10,121.454247,23.690988,122,296325.8,2620875.4,null,null,null,null,null,null
125,NCU2000kf11(kf11),kf11,121.440356,23.655155,128,294921.4,2616902.6,null,null,null,null,null,null
126,NCU2000kf18(kf18),kf18,121.477858,23.680153,107,298737.8,2619683.4,null,null,null,null,null,null
127,NCU2000kf19(kf19),kf19,121.443413,23.686822,137,295222.4,2620410.5,null,null,null,null,null,null
128,NCU2000kf20(kf20),kf20,121.507026,23.692096,177,301708.1,2621016.3,null,null,null,null,null,null
129,NCU2000kf21(kf21),kf21,121.447578,23.647099,130,295660.9,2616012.7,null,null,null,null,null,null
130,NCU2000kf28(kf28),kf28,121.470358,23.678487,112,297973.5,2619496.3,null,null,null,null,null,null
131,NCU2000kf29(kf29),kf29,121.427302,23.694323,156,293576.8,2621236.2,null,null,null,null,null,null
132,NCU2000kf40(kf40),kf40,121.469012,23.660964,126,297842.6,2617555.2,null,null,null,null,null,null
133,NCU2000kf48(kf48),kf48,121.459286,23.683779,115,296842.3,2620078.7,null,null,null,null,null,null
134,NCU2000kf49(kf49),kf49,121.463972,23.684463,120,297319.9,2620156.0,null,null,null,null,null,null
135,NCU2000kl07(kl07),kl07,121.527685,25.272394,77,303146.9,2796053.5,null,null,null,null,null,null
136,NCU2000kl22(kl22),kl22,121.772027,25.160425,7.998575,327828.4,2783769.7,null,null,null,null,null,null
137,NCU2000kl47(kl47),kl47,121.527407,25.272672,76,303118.8,2796084.2,null,null,null,null,null,null
138,NCU2000nw01(nw01),nw01,121.273499,24.719984,570,277669.2,2734790.6,null,null,null,null,null,null
139,NCU2000nw04(nw04),nw04,121.273471,24.719872,561,277666.5,2734778.3,null,null,null,null,null,null
140,NCU2000nw06(nw06),nw06,121.233210,24.724764,355,273592.4,2735312.5,null,null,null,null,null,null
141,NCU2000nw08(nw08),nw08,121.219950,24.676454,434.9903,272259.6,2729959.7,null,null,null,null,null,null
142,NCU2000nw11a(nw11a),nw11a,121.245686,24.679262,533,274863.6,2730275.1,null,null,null,null,null,null
143,NCU2000nw11b(nw11b),nw11b,121.229197,24.724014,350,273186.6,2735228.8,null,null,null,null,null,null
144,NCU2000nw12(nw12),nw12,121.189967,24.688043,571,269223.4,2731238.7,null,null,null,null,null,null
145,NCU2000nw13(nw13),nw13,121.217649,24.673347,495,272027.3,2729615.1,null,null,null,null,null,null
146,NCU2000nw21(nw21),nw21,121.258532,24.729040,444,276153.2,2735790.8,null,null,null,null,null,null
147,NCU2000nw22(nw22),nw22,121.246501,24.724707,392,274937.0,2735308.7,null,null,null,null,null,null
148,NCU2000nw41a(nw41a),nw41a,121.277545,24.716539,625,278079.4,2734409.9,null,null,null,null,null,null
149,NCU2000nw41b(nw41b),nw41b,121.277635,24.719784,630,278087.8,2734769.4,null,null,null,null,null,null
150,NCU2000nw44a(nw44a),nw44a,121.277573,24.716539,630,278082.2,2734409.9,null,null,null,null,null,null
151,NCU2000nw44b(nw44b),nw44b,121.278038,24.719783,635,278128.6,2734769.4,null,null,null,null,null,null
152,NCU2000nw47(nw47),nw47,121.277552,24.719784,625,278079.4,2734769.4,null,null,null,null,null,null
153,NCU2000nw61A(nw61A),nw61A,121.325663,24.646313,848,282966.0,2726642.5,null,null,null,null,null,null
154,NCU2000nw61B(nw61B),nw61B,121.323214,24.651258,695,282716.8,2727189.6,null,null,null,null,null,null
155,NCU2000nw64B(nw64B),nw64B,121.269125,24.723873,522,277225.9,2735220.5,null,null,null,null,null,null
156,NCU2000nw65A(nw65A),nw65A,121.257173,24.730512,434,276015.4,2735953.6,null,null,null,null,null,null
157,NCU2000nw65B(nw65B),nw65B,121.258779,24.728979,454.9931,276178.2,2735784.0,null,null,null,null,null,null
158,NCU2000nw66A(nw66A),nw66A,121.245371,24.723957,388,274822.8,2735225.4,null,null,null,null,null,null
159,NCU2000nw66C(nw66C),nw66C,121.187497,24.702044,231,268971.4,2732789.0,null,null,null,null,null,null
160,NCU2000nw66D(nw66D),nw66D,121.187472,24.702044,233,268968.8,2732789.0,null,null,null,null,null,null
161,NCU2000nw67B(nw67B),nw67B,121.184630,24.702599,238,268681.2,2732850.2,null,null,null,null,null,null
162,NCU2000nw67C(nw67C),nw67C,121.182514,24.703683,228,268466.9,2732969.9,null,null,null,null,null,null
163,NCU2000nw68B(nw68B),nw68B,121.256406,24.676595,580,275949.0,2729981.7,null,null,null,null,null,null
164,NCU2000nw68C(nw68C),nw68C,121.256406,24.676623,578,275949.0,2729984.7,null,null,null,null,null,null
165,NCU2000pd06(pd06),pd06,120.654991,22.524068,113,214509.4,2491624.3,null,null,null,null,null,null
166,NCU2000pd06a(pd06a),pd06a,120.657588,22.524058,113,214776.6,2491622.5,null,null,null,null,null,null
167,NCU2000pd25(pd25),pd25,120.581682,22.509376,46,206963.6,2490016.7,null,null,null,null,null,null
168,NCU2000pd25a(pd25a),pd25a,120.589156,22.509349,50,207732.5,2490011.6,null,null,null,null,null,null
169,NCU2000pd44(pd44),pd44,120.693564,22.523798,197,218477.3,2491585.8,null,null,null,null,null,null
170,NCU2000pd45(pd45),pd45,120.695826,22.523788,203,218710.0,2491584.2,null,null,null,null,null,null
171,NCU2000pd46(pd46),pd46,120.660547,22.522679,125,215080.6,2491469.2,null,null,null,null,null,null
172,NCU2000pd75(pd75),pd75,120.635210,22.521028,96,212473.7,2491292.5,null,null,null,null,null,null
173,NCU2000pd75a(pd75a),pd75a,120.638880,22.521013,102,212851.2,2491290.0,null,null,null,null,null,null
174,NCU2000pd75b(pd75b),pd75b,120.633265,22.521036,102,212273.7,2491293.8,null,null,null,null,null,null
175,NCU2000pd76(pd76),pd76,120.653047,22.522124,127,214308.9,2491409.5,null,null,null,null,null,null
176,NCU2000pd85(pd85),pd85,120.619435,22.517681,76,210849.9,2490925.9,null,null,null,null,null,null
177,NCU2000pd86(pd86),pd86,120.596378,22.510182,52,208475.8,2490101.8,null,null,null,null,null,null
178,NCU2000sf07(sf07),sf07,121.538982,23.865986,30,304894.1,2640286.0,null,null,null,null,null,null
179,NCU2000sf08(sf08),sf08,121.488980,23.850433,72,299807.4,2638545.1,null,null,null,null,null,null
180,NCU2000sf17(sf17),sf17,121.541760,23.869455,24,305175.5,2640671.4,null,null,null,null,null,null
181,NCU2000sf18(sf18),sf18,121.517035,23.826542,74,302674.7,2635909.4,null,null,null,null,null,null
182,NCU2000sf27(sf27),sf27,121.572039,23.865984,95,308260.9,2640299.0,null,null,null,null,null,null
183,NCU2000sf28(sf28),sf28,121.502035,23.830709,94,301144.9,2636365.4,null,null,null,null,null,null
184,NCU2000sf47(sf47),sf47,121.548690,23.870757,25,305880.8,2640818.2,null,null,null,null,null,null
185,NCU2000sf48(sf48),sf48,121.544595,23.840363,59,305476.7,2637450.6,null,null,null,null,null,null
186,NCU2000sf87(sf87),sf87,121.531313,23.863074,35,304114.2,2639960.6,null,null,null,null,null,null
187,NCU2000sf88(sf88),sf88,121.535371,23.862097,43,304527.9,2639853.9,null,null,null,null,null,null
188,NCU2000sg(sg),sg,121.241809,24.736013,586,274460.1,2736560.0,null,null,null,null,null,null
189,NCU2000sg06(sg06),sg06,120.837851,23.812966,279,233478.9,2634319.3,null,null,null,null,null,null
190,NCU2000sg07(sg07),sg07,120.800072,23.810468,237,229629.3,2634047.6,null,null,null,null,null,null
191,NCU2000sg08(sg08),sg08,120.746461,23.822693,181,224169.2,2635410.2,null,null,null,null,null,null
192,NCU2000sg16(sg16),sg16,120.905350,23.763795,425,240352.6,2628867.7,null,null,null,null,null,null
193,NCU2000sg17(sg17),sg17,120.805906,23.810745,238,230223.7,2634077.5,null,null,null,null,null,null
194,NCU2000sg18(sg18),sg18,120.695625,23.800473,145,218984.7,2632959.6,null,null,null,null,null,null
195,NCU2000sg26(sg26),sg26,120.845351,23.809910,271,234242.7,2633980.0,null,null,null,null,null,null
196,NCU2000sg27(sg27),sg27,120.812573,23.811856,237,230903.2,2634199.6,null,null,null,null,null,null
197,NCU2000sg28(sg28),sg28,120.666179,23.786586,128,215980.6,2631428.4,null,null,null,null,null,null
198,NCU2000sg46(sg46),sg46,120.866461,23.785186,292,236391.1,2631239.8,null,null,null,null,null,null
199,NCU2000sg47(sg47),sg47,120.783961,23.811580,233,227987.9,2634173.1,null,null,null,null,null,null
200,NCU2000sg48(sg48),sg48,120.726460,23.821305,168,222131.2,2635260.3,null,null,null,null,null,null
201,NCU2000sg71B(sg71B),sg71B,120.755867,23.985039,196.0135,225158.6,2653387.8,null,null,null,null,null,null
202,NCU2000sg72a(sg72a),sg72a,120.732863,24.039086,240,222829.2,2659377.6,null,null,null,null,null,null
203,NCU2000sg72b(sg72b),sg72b,120.647026,24.015201,61,214091.9,2656751.6,null,null,null,null,null,null
204,NCU2000sg73(sg73),sg73,121.175095,24.024895,1012,267811.0,2657791.3,null,null,null,null,null,null
205,NCU2000sg74(sg74),sg74,120.728416,23.997974,123,222368.1,2654825.4,null,null,null,null,null,null
206,NCU2000sg75(sg75),sg75,120.993700,23.994905,537,249359.0,2654458.8,null,null,null,null,null,null
207,NCU2000sg76(sg76),sg76,120.778139,23.992138,267,227426.1,2654170.2,null,null,null,null,null,null
208,NCU2000sg77(sg77),sg77,120.977033,23.996850,450,247663.2,2654674.5,null,null,null,null,null,null
209,NCU2000sg78(sg78),sg78,121.040043,23.958678,698.9876,254075.3,2650447.5,null,null,null,null,null,null
210,NCU2000sg81(sg81),sg81,120.824720,24.011634,221.9752,232168.3,2656322.7,null,null,null,null,null,null
211,NCU2000sg82a(sg82a),sg82a,120.856979,24.004924,285.9706,235449.3,2655575.8,null,null,null,null,null,null
212,NCU2000sg83c(sg83c),sg83c,120.754755,23.986106,189.0086,225045.7,2653506.1,null,null,null,null,null,null
213,NCU2000sg83d(sg83d),sg83d,120.912587,24.005742,742,241106.9,2655661.8,null,null,null,null,null,null
214,NCU2000sg85(sg85),sg85,121.086162,23.995391,687.9929,258766.5,2654515.4,null,null,null,null,null,null
215,NCU2000sg87(sg87),sg87,120.865085,23.989911,283,236272.5,2653912.4,null,null,null,null,null,null
216,NCU2000sg88(sg88),sg88,121.143705,24.014064,1008,264619.1,2656588.1,null,null,null,null,null,null
217,NCU2000sy0a(sy0a),sy0a,121.193633,22.829601,14,269874.7,2525427.5,null,null,null,null,null,null
218,NCU2000sy0b(sy0b),sy0b,121.194467,22.827934,5,269960.4,2525243.1,null,null,null,null,null,null
219,NCU2000sy21(sy21),sy21,121.193911,22.828489,7,269903.3,2525304.5,null,null,null,null,null,null
220,NCU2000sy4a(sy4a),sy4a,121.193356,22.830434,19,269846.0,2525519.8,null,null,null,null,null,null
221,NCU2000sz01a(sz01a),sz01a,121.624620,25.106831,164,312995.3,2777756.1,null,null,null,null,null,null
222,NCU2000sz01b(sz01b),sz01b,121.625453,25.105164,113,313080.2,2777571.9,null,null,null,null,null,null
223,NCU2000sz02(sz02),sz02,121.624342,25.105720,130,312967.9,2777632.9,null,null,null,null,null,null
224,NCU2000sz11a(sz11a),sz11a,121.625731,25.104609,107,313108.5,2777510.5,null,null,null,null,null,null
225,NCU2000sz11b(sz11b),sz11b,121.623509,25.105442,138,312884.0,2777601.8,null,null,null,null,null,null
226,NCU2000sz21(sz21),sz21,121.626287,25.103220,69,313165.3,2777356.9,null,null,null,null,null,null
227,NCU2000sz41(sz41),sz41,121.624342,25.106831,143,312967.3,2777756.0,null,null,null,null,null,null
228,NCU2000tp05(tp05),tp05,121.447722,24.990173,20,295196.9,2764763.7,null,null,null,null,null,null
229,NCU2000tp15B(tp15B),tp15B,121.431321,24.965882,11.0016,293549.8,2762067.8,null,null,null,null,null,null
230,NCU2000tp25A(tp25A),tp25A,121.447173,24.984573,6.989056,295143.6,2764143.3,null,null,null,null,null,null
231,NCU2000tp45A(tp45A),tp45A,121.434152,24.968258,8.990817,293834.8,2762331.9,null,null,null,null,null,null
232,NCU2000ts05(ts05),ts05,121.289209,23.120711,362,279621.1,2557679.2,null,null,null,null,null,null
233,NCU2000ts06(ts06),ts06,121.212540,23.114603,300,271769.5,2556989.4,null,null,null,null,null,null
234,NCU2000ts15(ts15),ts15,121.272821,23.143490,305,277937.9,2560198.4,null,null,null,null,null,null
235,NCU2000ts16(ts16),ts16,121.242778,23.115043,307,274866.6,2557042.9,null,null,null,null,null,null
236,NCU2000ts24(ts24),ts24,121.190042,23.163494,363,269458.1,2562400.2,null,null,null,null,null,null
237,NCU2000ts25(ts25),ts25,121.279766,23.157656,282,278646.1,2561768.5,null,null,null,null,null,null
238,NCU2000ts26(ts26),ts26,121.234763,23.116269,280,274045.4,2557177.4,null,null,null,null,null,null
